ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
105,Bakery,Bakkerij,,,"WNT: Uit de openstaande bakkersdeuren walmde den vollen reuk van verschgebakken krentebrood, vlaaien en confijten,  thiry, Hofken v. Ol. 107 [1910]."
106,Print shop,Drukkerij,,,"WNT: Toen iemand er uit (t.w. uit een drukkerij) kwam walmde een weeë machinelucht mee, uit de donkere gang,   robbers, Gel. Fam. 5 [1909]."
107,Shop,Winkel,,,"WNT: Er hing in dien winkel een weeë, zoetige, benauwde lucht van al dat wollige kleedengoed,   robbers, A. de Boogh 152 [1902]."
108,Paradise,Paradijs,,,"WNT: Als 't Weste windje door de Hoven zacht gaat weiden …: Wat moet zich dan een reuk door't Paradys verspreiden, Zo lieflyk vloeijende uit uw vriendelyken mond!  luyken, Jezus en de Z. 18 [1678]."
109,Arabia,Arabië,,,"WNT: De Arabieren, dewelke in welriekend Arabien, gelukkig Arabien, en zommige deelen van woest en steenig Arabien, in vaste steden en onder hun eige Koningen, wetten, en burgerlyke opvoedinge, woonen, oefenen konsten en handwerken,  V. Ranouw, Kab. 4, 269 [1720].; Wy verbeelden ons met hem te wandelen door een weelig landschap van Arkadia, of 't gelukkig Arabië, daar de Natuur haare zegeningen elk oogenblik verdubbelt, zonder de kalmte van dien welriekenden dampkring door eenig gedruisch van storm of onweêr te ontrusten,  stijl, Lev. v. Punt 16 [1781]."
110,Arcadia,Arcadië,,,"WNT: Wy verbeelden ons met hem te wandelen door een weelig landschap van Arkadia, of 't gelukkig Arabië, daar de Natuur haare zegeningen elk oogenblik verdubbelt, WNT: zonder de kalmte van dien welriekenden dampkring door eenig gedruisch van storm of onweêr te ontrusten,   stijl, Lev. v. Punt 16 [1781]."
111,Bedroom,,,,
112,Living room,,,,
113,Coal Wagon,,,,
114,Dilligence,,,,
115,Haystack,,,,
116,Stable,Paardenstal,"Paardenbox, Paardenstand",,
117,Room,,,,
118,Apartment,,,,
119,Toko,Toko,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
