level1; level2; odorant
Edible Oil; fat; citronellal|3-nonenal|heptanal|methyl laurate|lauryl alcohol|methyl octadecenoate|oleic acid|1,3-p-menthadien-7-al|octanal|isopropyl palmitate|nonanol|perillaldehyde|heptenal|3,6-nonadienal|pentylpyridine|decadienal|decadienal|oxodecanal|perhydrofarnesylacetone|2-hexenal|(E)-2-undecenal|2,4-nonadienal
Edible Oil; flower; nerol oxide
Edible Oil; fried; decadienal|decadienal|2,4-heptadienal
Edible Oil; gasoline; octanone
Edible Oil; green; octanal|nonanol|(E)-2-undecenal|2,4-nonadienal
Edible Oil; herb; dehydrocarveol|lavandulol|methyl-2-butenol
Edible Oil; leaf; ethyl laurate
Edible Oil; lemon; octanal
Edible Oil; meat; dimethyl pyrazine
Edible Oil; medicine; dimethyl pyrazine
Edible Oil; mint; α-terpineol
Edible Oil; nut; dimethyl pyrazine
Edible Oil; oil; cinnamyl alcohol|butyl laurate|undecylic acid|undecanaldehyde|stearyl alcohol|δ-muurolene|nerol oxide|dehydrocarveol|(E,E)-farnesyl acetate|octadecanaldehyde|(E)-2-dodecen-1-ol|α-terpineol
Edible Oil; orris; methyl tetradecanoate
Edible Oil; peanut butter; ethyl pyrazine|dimethyl pyrazine
Edible Oil; plastic; octenol
Edible Oil; pungent; undecanaldehyde
Edible Oil; rancid; heptanal|2-hexenal
Edible Oil; roast beef; dimethyl pyrazine
Edible Oil; roasted nut; dimethyl pyrazine
Edible Oil; soap; octanone|octanal|(Z)-6-dodecen-γ-lactone|octenol|heptenal|3,6-nonadienal|(E)-2-undecenal
Edible Oil; spice; 1,3-p-menthadien-7-al
Edible Oil; sweet; undecanaldehyde|uncineol
Edible Oil; wax; lauryl alcohol|uncineol|decadienal|(Z)-nerolidol|(E,E)-farnesyl acetate|2,4-nonadienal|ethyl hexadecanoate|terpinyl acetate
Edible Oil; wine; methyl decanoate|butanol
Edible Oil; wood; ethyl pyrazine
Fecal; urine; benzoic acid
Fermented; alcohol; propanol
Fermented; balsamic; myrcene|cis-sabinene hydrate|7-methoxycoumarin
Fermented; bitter; isobutanol
Fermented; cabbage; dimethyl disulfide
Fermented; fruit; diethyl succinate|ethyl octenoate|ethyl valerate
Fermented; green; (Z)-3-hexenyl butanoate
Fermented; metal; octenone
Fermented; mushroom; octenol|octenone
Fermented; must; tridecanol|myrcene|β-terpineol|ethyl octenoate|3-terpinen-1-ol
Fermented; oil; ethyl octenoate
Fermented; onion; 2-methyl-1-butanol|dimethyl disulfide
Fermented; pungent; propanal|ethyl octenoate|propanol
Fermented; putrid; dimethyl disulfide
Fermented; rancid; phenyl cyanide|azine
Fermented; solvent; propanal|isobutanol
Fermented; sour; acetic acid
Fermented; spice; myrcene
Fermented; sweet; 7-methoxycoumarin|ethanol
Fermented; wine; diethyl succinate|2-methyl-1-butanol|(Z)-3-hexenyl butanoate|isobutanol
Fermented; yeast; ethyl valerate
Fishy; cabbage; dimethyl trisulfide
Fishy; fish; 4-ethyl-6-hepten-3-one|pentenone|dimethyl trisulfide|(E,Z)-3,6-nonadien-1-ol|trimethylamine
Fishy; pungent; pentenone
Fishy; sulfur; dimethyl trisulfide
Floral; almond; acetophenone
Floral; apple; (E)-β-damascone
Floral; balsamic; butyl benzoate
Floral; camomile; ethyl benzoate
Floral; celery; ethyl benzoate
Floral; citrus; lauric aldehyde
Floral; dust; citronellyl acetate
Floral; ether; (E,E)-farnesylacetone
Floral; fat; decanol|lauric aldehyde
Floral; flower; tridecanal|p-anisyl alcohol|(E,E)-farnesylacetone|methyl geranate|trans-crotonaldehyde|tetradecyl aldehyde|methyl anthranilate|linalool oxide|epoxylinalool|phytol|10-epi-γ-eudesmol|ethyl dihydrocinnamate|hexadecanol|4-mercapto-4-methyl-2-pentanol|(E)-linalool oxide|cetyl alcohol|ethyl-(E)-cinnamate|pinocarveol|(E)-rose oxide|methyl methylpropanoate|trimethylphenylbutenone|2-methyl anisole|β-farnesol|(E)-isoeugenol|(Z)-linalool oxide|nitro-phenylethane|ethyl vanillate|6-Methoxyeugenol|linalool|(E)-Whiskey lactone|trimethylphenylbutenone|(+)-cis-rose oxide|ethyl benzoate|phenylethyl benzoate|acetophenone
Floral; fresh; pentadecanal
Floral; fruit; geranyl valerate|methyl geranate|citronellyl butyrate|octyl acetate|butanediol|butyl octanoate|ethyl vanillate|ethyl benzoate|ethyl lactate|citronellyl isobutyrate
Floral; geranium; geraniol|(E,Z)-2,4-nonadienal|o-xylene
Floral; green; 2-ethylhexanol|methyl geranate|geranyl acetone|trimethylphenylbutenone|trimethylphenylbutenone|(+)-cis-rose oxide
Floral; hawthorne; phenylethanal
Floral; honey; β-phenethyl acetate|phenylethanal|methyl anthranilate|ethyl-(E)-cinnamate|phenylethyl benzoate
Floral; hummus; dimethoxytoluene
Floral; hyacinth; hotrienol
Floral; jasmine; methyl jasmonate|methyl dihydroepijasmonate|methyl epijasmonate
Floral; lactone; (E)-Whiskey lactone
Floral; lavender; linalool
Floral; lemon; 4-mercapto-4-methyl-2-pentanol
Floral; lily; lauric aldehyde
Floral; magnolia; geranyl acetone
Floral; muguet; (E)-farnesol
Floral; must; tridecanal|acetophenone
Floral; oil; β-farnesol
Floral; onion; butanediol
Floral; pungent; (E,Z)-2,4-nonadienal
Floral; rose; β-phenethyl acetate|2-ethylhexanol|geranyl valerate|geranyl acetate|citronellol|geraniol|citronellyl butyrate|citronellyl acetate|isogeraniol|(-)-cis-rose oxide|isogeraniol|citronellyl isobutyrate
Floral; spice; nitro-phenylethane
Floral; sweet; tridecanal|phenylethanal|eudesmol|citronellyl butyrate|10-epi-γ-eudesmol|styrene glycol|(-)-cis-rose oxide|ethyl vanillate|6-Methoxyeugenol
Floral; tobacco; β-phenethyl acetate
Floral; vanilla; ethyl vanillate
Floral; walnut; 2-methyl anisole
Floral; warm; 2-methyl anisole
Floral; wax; tetradecyl aldehyde|hexadecanol|cetyl alcohol
Floral; wood; eudesmol|linalool oxide|10-epi-γ-eudesmol
Fruity; rubber; ethyl isobutyrate
Fruity; sweet; ethyl isobutyrate
Grain; almond; furfural
Grain; bitter almond; 4-acetyltoluene
Grain; bread; 2-acetylpyrrole|furfural
Grain; fat; 2,4-heptadienal
Grain; nut; 2-acetylpyrrole|2,4-heptadienal|acetylpyrroline
Grain; popcorn; methyl pyrazine
Grain; roast; acetylpyrroline
Grain; sweet; furfural
Grain; walnut; 2-acetylpyrrole
Herbs; balsamic; benzyl benzoate|(-)-β-bisabolene|p-coumaric acid|pentanol
Herbs; butter; octanone
Herbs; camphor; isobornyl formate|isoborneol|dihydrocarvyl acetate
Herbs; caraway; carveol
Herbs; coumarin; 4-hexanolide
Herbs; dill; epoxy-p-menthene|(+)-α-phellandrene|dill ether
Herbs; earth; isobornyl formate
Herbs; fat; 2-octenal|hexanal
Herbs; fresh; β-elemene|(E)-p-mentha-2,8-dien-1-ol|piperitone|carveol
Herbs; fruit; spathulenol
Herbs; geranium; octadienone
Herbs; grass; 2-ethylpyridine|hexanal|(Z)-3-hexenol
Herbs; green; isobornyl formate|alpha,γ-dimethylallyl alcohol|2-octenal|artemisia ketone|2-pentanol|carvyl acetate
Herbs; green tea; (-)-cubenol
Herbs; herb; octanone|caryophyllene oxide|methylbutenol|safranal|benzyl benzoate|bornyl butyrate|β-bisabolol|piperitol|α-cubebene|humulene oxide|T-muurolol|(-)-cubenol|levomenol|artemisia alcohol|γ-muurolene|hydroxypentanone|β-elemene|δ-cadinol|(E)-β-ocimene|(Z)-dihydrocarvone|calamenene|(Z)-piperitol|β-bourbonene|(Z)-3-hexenyl-2-methylbutanoate|artemisia ketone|heptanol|(E)-dihydrocarvone|p-2-menthen-1-ol|α-curcumene|spathulenol|citronellyl valerate|methyl benzoate|2,3,4,5-tetrahydroanisole|hydroxycalamenene
Herbs; honey; citronellyl valerate
Herbs; leaf; isopulegyl acetate
Herbs; lemon; 2,3-dehydro-1,8-cineole
Herbs; lettuce; methyl benzoate
Herbs; medicine; dihydrocarvyl acetate|δ-cadinene
Herbs; metal; heptenone|octadienone
Herbs; mint; menthone|p-anisaldehyde|(R)-linden ether|epoxy-p-menthene|dihydrocarvyl acetate|β-phellandrene|dihydrocarveol|(E)-p-mentha-2,8-dien-1-ol|isopulegyl acetate|piperitone|2,3-dehydro-1,8-cineole
Herbs; must; isoborneol
Herbs; nut; 2-octenal
Herbs; oil; benzyl benzoate
Herbs; peppermint; l-menthol
Herbs; prune; methyl benzoate
Herbs; resin; octanone
Herbs; rose; citronellyl valerate
Herbs; spearmint; carvyl acetate|carveol
Herbs; spice; caryophyllene oxide|(-)-cubenol|γ-muurolene|calamenene|dihydrocarveol|2,3,4,5-tetrahydroanisole
Herbs; sweet; caryophyllene oxide|safranal|p-anisaldehyde|β-bisabolol|(E)-β-ocimene|(Z)-3-hexenyl-2-methylbutanoate|4-hexanolide|methyl benzoate
Herbs; tallow; hexanal
Herbs; terpentine; β-phellandrene
Herbs; thyme; δ-cadinene
Herbs; truffle; hydroxypentanone
Herbs; vinyl; alpha,γ-dimethylallyl alcohol
Herbs; warm; (Z)-dihydrocarvone|(E)-dihydrocarvone|citronellyl valerate
Herbs; wax; α-cubebene|β-elemene
Herbs; weak spice; T-muurolol
Herbs; wood; bornyl butyrate|γ-muurolene|δ-cadinene
Maillard; almond; benzaldehyde|pentanal|5-methylfurfural|methylbutanal
Maillard; almond shell; 4-vinylphenol
Maillard; baked; diethylmethylpyrazine|nonenone
Maillard; biscuit; 4-heptenal
Maillard; brown sugar; diethyl malate
Maillard; burnt; 3-methyl-1-butanol|ethyldimethylpyrazine|furfuryl alcohol
Maillard; burnt sugar; benzaldehyde|5-methylfurfural
Maillard; butterscotch; methyl vanillate
Maillard; caramel; ethyl-4-hydroxymethyl- 3(2H)-Furanone|maltol|norfuraneol|hydroxydimethylcyclopentenone|2-acetyl-1,4,5,6-tetrahydropyridine|2-acetyl-3,4,5,6-tetrahydropyridine|homofuraneol|furaneol|methyl vanillate|dimethylmethoxyfuranone|acetyloxy-dimethylfuranone|5-methylfurfural|γ-butyrolactone|ethyl hydroxybutanoate
Maillard; cocoa; dimethyl pyrazine|methylbutanal
Maillard; coffee; fufuryl mercaptan
Maillard; cotton candy; methyl furaneol|pantolactone|Diethyl 2-hydroxyglutarate
Maillard; cream; 4-heptenal
Maillard; crushed bug; 3-octen-2-one
Maillard; fat; γ-heptalactone
Maillard; fruit; γ-heptalactone
Maillard; hazelnut; filbertone
Maillard; malt; pentanal|3-methyl-1-butanol|2-methyl-1-butanol|methylbutanal
Maillard; marshmallow; ethyl 3-hydroxybutanoate
Maillard; mildew; dimethylmethoxyfuranone
Maillard; must; trimethyl-pyrazine
Maillard; nut; filbertone|γ-heptalactone|3-octen-2-one|dihydromethylcyclopentapyrazine|acetylthiazole|3-octenone
Maillard; popcorn; Propionylpyrrole|acetylpyridine|ethyldimethylpyrazine|acetylthiazoline
Maillard; potato; trimethyl-pyrazine
Maillard; pungent; ethyl formate|pentanal
Maillard; roast; Propionylpyrrole|4-Carbethoxybutyrolactone|propionylpyrroline|trimethyl-pyrazine|acetylpyrazine|dihydromethylcyclopentapyrazine|acetylthiazole|acetylthiazoline|dimethylthiazole|methylcyclopentapyrazine|fufuryl mercaptan
Maillard; roast beef; dimethyl pyrazine
Maillard; roasted nut; dimethyl pyrazine
Maillard; smoke; 4-Carbethoxybutyrolactone|dimethylthiazole
Maillard; sulfur; acetylthiazole
Maillard; sweet; methyl furaneol|dimethylmethoxyfuranone|diethyl malate|γ-butyrolactone
Maillard; vanilla; methyl vanillate
Maillard; whiskey; 3-methyl-1-butanol|butyl decanoate
Mineral; acid; cumin aldehyde
Mineral; alkaline; pyrrolidine
Mineral; alkane; pentane|hexane|octane|nonane|dodecane|eicosane|undecane|decane|heptane|7-heptadecene|hexadecane|octadecane|tridecane|tetradecane|pentadecane|heptadecane|nonadecane|heneicosane|docosane|tricosane
Mineral; burnt; octanol|indole|dimethyl sulfone
Mineral; camphor; camphene hydrate
Mineral; cardboard; palmitaldehyde|5-oxymethylfurfurole
Mineral; chemical; heptanol|octanol|4-methyl-3-penten-2-one
Mineral; dust; pinenol
Mineral; earth; bornyl methyl ether|trimethylthiazole|ethenyl-dimethylpyrazine|ethenyl-ethylmethylpyrazine|2-methoxy-3,6-dimethylpyrazine|methylisoborneol|1,5-octadienone|ethyldimethylthiazole|α-caryophyllene alcohol|diethyl tartrate
Mineral; ether; pentanone
Mineral; fat; (E)-2-hexenoic acid
Mineral; fecal; skatole
Mineral; fruit; butanol
Mineral; garlic; allyl isothiocyanate|methyl ethyl sulfide|methanethiol
Mineral; gasoline; p, a -dimethylstyrol|methanethiol|benzothiazole|γ-terpinene
Mineral; green; heptanol|epoxy-2-decenal|butyl isothiocyanate
Mineral; meat; mercaptopentanone
Mineral; medicine; p-cresol|methyl-thiophenethiol|chavicol|acetylpyrrolizine|butanol
Mineral; metal; octanol|epoxy-2-nonenal|epoxy-2-undecenal|epoxy-2-octenal|epoxy-2-decenal|lauric acid|benzylmethyl ether|octenhydroperoxide
Mineral; mold; dimethylthiazole
Mineral; mothball; indole|skatole
Mineral; mushroom; octenhydroperoxide
Mineral; must; bornyl methyl ether|(E)-2-hexenoic acid|pinenol|methylisoborneol|1,5-octadienone|ethylphenol|diethyl tartrate
Mineral; onion; mercaptopentanone
Mineral; paint; toluene
Mineral; paper; 2-nonenal
Mineral; pesticide; 1-cyclohexen-3-one
Mineral; phenol; p-cresol|chavicol
Mineral; plastic; m-xylene|methyl-p-xylene
Mineral; pungent; allyl isothiocyanate|butyl isothiocyanate
Mineral; roast; methylfurfurylthiol
Mineral; rubber; dimethylthiazole|benzothiazole
Mineral; sharp; cumin aldehyde
Mineral; smoke; p-cresol
Mineral; sulfur; hexanethiol|formylmethyl thiophene|sulfurol|ethyl mercaptopropionate|3-mercaptohexanol|methylthiophene|methyl thiocyanate|methyldithiolane|allyl isothiocyanate|butyl isothiocyanate|methylfurfurylthiol|methyl ethyl sulfide|thenylthiol|dimethyl sulfone|mercaptopentanone|methanethiol|acetylthiophene|2-formylthiophene
Mineral; sweet; 4-methyl-3-penten-2-one
Mineral; tar; naphthalene
Mineral; turpentine; p-menthatriene|p-mentha-dien-hydroperoxide|p-menthadienhydroperoxide|p-menthadienhydroperoxide|p-menthadienhydroperoxide|γ-terpinene
Peppers; green; butanal
Peppers; herb; 	β-selinene
Peppers; mushroom; methylisohexenyl ketone|nonenone
Peppers; pepper; methylisohexenyl ketone
Peppers; pungent; butanal|nonenone
Peppers; rubber; methylisohexenyl ketone
Pome; apple; (2S)-2-methyl-ethyl ester-butanoic acid|diethyl malonate|ethyl butyrate|geranyl butyrate|geranyl isovalerate|isobutyl acetate|linalyl isovalerate|heptyl 2-methylbutyrate|methyl methylbutanoate|2-hexenal|pentyl methylbutyrate|ethyl methylbutyrate|methyl methylbutyrate
Pome; apple peel; ethyl hexanoate|hexyl butanoate|hexyl hexanoate
Pome; apple. rose; β-damascenone
Pome; banana; isobutyl acetate
Pome; citrus; linalyl isovalerate
Pome; ether; methyl butanoate
Pome; fat; ethyl octanoate
Pome; foxy; o-aminoacetophenone
Pome; fresh; methyl hexanoate
Pome; fruit; geranyl butyrate|ethyl octanoate|methyl hexanoate|geranyl isovalerate|isobutyl acetate|ethyl hexanoate|hexadecanone|ethyl isohexanoate|(Z)-3-hexenyl hexanoate|methyl butanoate
Pome; green; 2-hexenal
Pome; honey; β-damascenone
Pome; peach; hexyl hexanoate
Pome; pear; butyl acetate|ethyl-(E,Z)-2,4-decadienoate|linalyl butyrate
Pome; prune; (Z)-3-hexenyl hexanoate
Pome; rose; geranyl butyrate|geranyl isovalerate
Pome; sweet; methyl hexanoate|linalyl isovalerate|o-aminoacetophenone|methyl butanoate|linalyl butyrate
Pome; watermelon; 2,4-nonadienal
Processed meat; cooked meat; methyl-(methyldithio)furan|12-methyltridecanal|3-mercaptothiophene
Processed meat; fat; 2-methyl-2-(methyldithio)propanal|12-methyltridecanal
Processed meat; meat broth; mercaptomethylbutanol|12-methyltridecanal
Processed meat; roast; S-(2-furfuryl)-ethanethioate
Processed meat; roasted meat; mercaptopentanone|bis(2-methyl-3-furyl)disulphide|3-(acetylthio)-2-methylfuran|4-methylthiazole
Processed meat; smoke; furfurylmethyldisulphide|2-methyl-2-(methyldithio)propanal
Processed meat; sweat; 12-methyltridecanal
Processed meat; tallow; 12-methyltridecanal
Processed meat; thiamin; methyl-(methyldithio)furan
Raw meat; meat; methyldihydrofuranthiol|methylfuranthiol|dimethylfuranthiol|methyldithiofurane
Raw meat; thiamin; 1-(methylthio)ethanethiol|methyldithiofurane
Root spices; garlic; thiophene|methylene bis(methyl sulfide)|methylthiazoline|syntexan
Root spices; sulfur; methylene bis(methyl sulfide)
Seed spices; basil; DL-carvone
Seed spices; caraway; (Z)-carveol|(E)-carveol|(+)-carvone
Seed spices; clove; eugenol
Seed spices; fennel; DL-carvone
Seed spices; fresh; ;α-zingiberene
Seed spices; honey; eugenol
Seed spices; horseradish; 4-pentenyl isothiocyanate
Seed spices; mint; DL-carvone
Seed spices; mustard; 4-pentenyl isothiocyanate
Seed spices; pepper; asaricin|sabinene
Seed spices; sharp; α-zingiberene
Seed spices; solvent; (E)-carveol
Seed spices; spice; asaricin|perilla aldehyde|bulnesol|3-oxo-α-ionol|1,4-cineole|α-zingiberene|(Z)-oak-lactone
Seed spices; turpentine; sabinene
Seed spices; wood; sabinene
Stone; apricot; γ-undecalactone
Stone; fat; γ-decalactone
Stone; fresh; isopropyl hexanoate
Stone; peach; (Z)-6-dodecene-γ-lactone|δ-decalactone|R-δ-decenolactone|5-octanolide|γ-decalactone|δ-undecalactone
Stone; plum; benzyl butanoate
Stone; sweet; (Z)-6-dodecene-γ-lactone
Sweet spices; anise; hydrocinnamic alcohol
Sweet spices; balsamic; myristicin
Sweet spices; cinnamon; ethyl cinnamate|hydrocinnamic alcohol|(E)-cinnamaldehyde
Sweet spices; clove; 4-ethylguaiacol|p-vinylguaiacol|methyl eugenol
Sweet spices; cotton candy; sotolon
Sweet spices; curry; p-vinylguaiacol
Sweet spices; ether; ethyl tetradecanoate
Sweet spices; flower; phenylacetic acid|elemicin|α-bisabolol|(E)-isoelemicin|isoeugenol
Sweet spices; fruit; limonene oxide|hydrocinnamic alcohol|ethylmethyl pyrazine|isopentyldimethylpyrazine|cadinadiene
Sweet spices; honey; ethyl cinnamate|phenylacetic acid|cinnamic acid|2-phenylethyl alcohol
Sweet spices; licorice; dehydro-ar-ionene
Sweet spices; lilac; 2-phenylethyl alcohol
Sweet spices; maple; sotolon
Sweet spices; mint; (methylbutenyl)-methylfuran
Sweet spices; must; 1-terpinen-4-ol
Sweet spices; nutmeg; 1-terpinen-4-ol
Sweet spices; paint; (E)-cinnamaldehyde
Sweet spices; rose; 2-phenylethyl alcohol
Sweet spices; spice; ethylfuranone|myrtenal|ethylfuranone|4-ethylguaiacol|sotolon|cadinadiene|elemicin|α-bisabolol|(E)-isoelemicin|2-phenylethyl alcohol|myristicin|abhexone|acetylmethylcyclohexene|methyl eugenol|safrole
Sweet spices; sweet; ethylmethyl pyrazine|2-undecenal|ethylbenzaldehyde|safrole
Sweet spices; turpentine; 1-terpinen-4-ol
Sweet spices; vanilla; vanillin
Sweet spices; warm; myristicin|safrole
Tropical; banana; isoamyl acetate|hexenyl acetate|pentyl butanoate
Tropical; coconut; γ-octalactone|γ-nonalactone|tetradecanol|methyl nonanoate|wine lactone|(E)-oak lactone|δ-decalactone|(Z)-whiskey lactone
Tropical; ether; pentanone|hexanone
Tropical; flower; (E)-oak lactone
Tropical; fruit; pentanone|4-methylthio-2-butanone|pentanol|butyl hexanoate
Tropical; grapefruit; (+)-nootkatone|p-menthenethiol
Tropical; green; hexenyl acetate
Tropical; peach; γ-nonalactone
Tropical; pineapple; propyl butyrate|propyl propanoate|ethyl acetate
Tropical; solvent; propyl butyrate
Tropical; spice; wine lactone
Vegetable; balsamic; trans-sabinene hydrate|bornyl benzoate|α-guaiene|α-gurjunene|guaiol|hydrocinnamic acid
Vegetable; beet; geosmin
Vegetable; boiled vegetable; benzyl acetate
Vegetable; box tree; 3-mercaptohexyl-acetate|4-mercapto-4-methyl-2-pentanone
Vegetable; broccoli; 5-(methylthio)-valeronitrile
Vegetable; butter; pentylfuran
Vegetable; cabbage; thiophane|methyldihydrothiophenone|mercaptoacetaldehyde|erucin|berteroin|dimethyl tetrasulfide|5-(methylthio)-valeronitrile|dimethyl sulfide
Vegetable; carrot; butylmethoxypyrazine
Vegetable; citrus; β-farnesene
Vegetable; cooked potato; methyl-2-(methylthio)acetate|methional
Vegetable; cooked vegetable; hexenone
Vegetable; cucumber; 6-decenal|(E)-2-nonenal|nonadienol|2,4-octadienal|3-nonenal|2,6-nonadienal|2-nonenal|2-nonanol|2,6-nonadienol
Vegetable; earth; germacrene B|geosmin|butylmethoxypyrazine|isobutylmethoxypyrazine|isopropylmethoxypyrazine|β-caryophyllene alcohol|caryophyllene alcohol|hydroxypentanone|bornyl isovalerate|1,5-octadien-3-ol
Vegetable; fat; nonanoic acid|2-octanol|(E)-2-nonenal|2-dodecenal|2-nonenal
Vegetable; flower; hexanol|nerolidol
Vegetable; fresh; benzyl acetate|menthone|(E)-3-hexenol
Vegetable; fruit; dimethylheptenal|ethoxypropanol|methyl-2-butenal|2-hexenol
Vegetable; gasoline; dimethyl sulfide
Vegetable; grass; 2,6-dimethylnaphthalene
