Smell word,In hoofdstuk?,Lexical category,Spelling variants,Olfactory Language Category,Valuation,Provenance,Definition,Attestation,
empyreumatisch,,adjective,,Odor quality/ Abstract ,,WNT,"rokerig, branderig. Een branderigen en scherpen of bitteren reuk of smaak hebbend. ","In het stelsel Linnaeus-Zwaardemaker worden 9 klassen aangenomen: 1. aetherische geuren …. 2. aromatische geuren …. 6. empyreumatische geuren, o.a. teer, naphtaline, petroleum enz.,   Natuurk. Voordr. N.R. 13, 63 [1935].; De werkzaamheid der koffij in het menschelijke organismus ontstaat door de aanwezigheid van drie stoffen: de eerste is een vlugge empyreumatische olie, die zich door het branden in de koffijboonen ontwikkelt,   Boek d. Uitv. 5, 147 [1868].",
garstig ,,adjective,garstich; gerstich; galsterig,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon; WNT,"Bedorven, slecht smakende of ruikende, ransig, galsterig (van vet).","Het garstig overschot der geuren van de (uitgeputte jeugd,   kneppelh. 3, 257 [1844]. Een juffer word schielijk gastig, / Gelijk 't spek, dat begint te stinkken.  v. d. heyden, Adellijke Juffer, 18.",
garstigheid ,,noun,,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon,,,
geil,,adjective,,Odor quality/ Abstract ,,WNT,Ook van den reuk van eene vette stof gezegd. Door de vettigheid der stof walging verwekkende. ; Ook de geur van koffiebonen,"Als men de vochten uit de tweede maag, de hoeve of huive, uitperst, is de reuk geilder, en alhoewel de slijm dunner is, van een prikkelender smaak, erkhey, N.H. 6, 251 [1807].",
geurigheid ,,noun,,Odor quality/ Abstract ,,Brouwer Lexicon,,,
Hees,,noun,,Odor quality/ Abstract ,,Neuswijzer Workshops,Een korrelige geur,,
heumig ,,ajective,"hummig, hommich",Odor quality/ Abstract ,,WNT,,"Bij R. rook het ook niet naar eau de cologne, en … op de kinderkamer … kon het ook heumig genoeg zijn; maar hier enz.,  V. lennep, K. Zev. 3, 260 [1865].",
muf ,,adjective,maf,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon; WNT,"1. Met betrekking tot den reuk en soms ook tot den smaak. Onfrisch, eenigszins bedorven. Samen met maf genoemd. 2. Inzonderheid van plaatsen waar de lucht onfrisch, bang, min of meer stinkend en bedorven is. 3. Ook met betrekking tot het leven van geest en gemoed. Hoogduitsch Muff = schimmel, wat een muffigen reuk verspreidt; Italiaansch muffa = schimmel, Portugeesch mofo, Spaansch moho. Zie: dōf.","Den maffen, muffen reuck (t.w. van tabaksrook),   v. d. venne,; Wys-mal x.; De dappersten verlangen Te sterven, niet in 't muffe bedt, Maer op 't altaer van eere,   vondel 9, 713 [1663].; Nu 't vee den muffen stal verlaet, … In 't nieuwe gras te bruiloft gaet,   de decker 1, 344 [1659] (zie ook overdorp-post, Het Land 119; helmers, Ged. 2, 26).; Dat men de kinderen … verstikt in vogtige muffe warme vertrekken,   wolff en deken, Blank. 3, 218 [1789].; Dat hij het ”rustige land” voor de ”muffe stad” wou verlaten,   v. lennep, K. Zev. 1, 253 [1865].; In een muffe kast, 3,74.; Oud en slecht onderhouden als kwamen ze (zekere meubels) uit een muffen uitdragerswinkel,   kneppelh. 10, 72 [1863].; De muffe kazerne,   v. beers, Rijz. Bl. 72 [1881].; De muffe benauwdheid hunner onzindelijke, kleine kamertjes,   couperus, E. Vere 3, 119 [1889].; Die donkere, vochtige zaal geeft maar muffe en sombere denkbeelden,   bosb.-touss., Maj. Frans 95.Het was haar, of die geurige frischheid, die zachte adem ook al haar gedachten verfrischt en doorgeurd had als met een geur van veldbloemen, die den ongezonden, muffen reuk van haar vroegere denkbeelden, als een ontzenuwend parfum van musc en opoponax, verdreven had,   couperus, E. Vere 2, 102 [1889]..; Rijst moet vast en droog zijn, wit of geelachtig van kleur, doorschijnend; uit gave volle korrels bestaan, aan de er in gestoken hand geen wit poeder afgeven, geen muffen reuk of zuurachtigen smaak hebben, vrij van bijmengselen en insecten … of sporen van insectenbezoek zijn,   v. gorkom, Rijst² 34.",
mufachtig,,adjective,,Odor quality/ Abstract ,,WNT,,"”Het heeft eenen … mufachtighen smaeck, als noch zuyr, noch amper, noch Wijnachtich”, Koockb. 12 [1599])",
muffig ,,adjective,,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon; WNT,,"Er hing een onbestemde geur, een menging van geuren, muffig, bedompt”, robbers, B. Bandt 103; ook van personen (”Domme grootmoeders en oude muffige Tantes”, wolff en deken, Wildsch. 2, 14 [1793])",
muffigheid ,,noun,,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon,,,
mufheid ,,noun,,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon,,,
odoresque,,adjective,,Odor quality/ Abstract ,Neologisme,Caro Verbeek,,,
ransigheid ,,noun,,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon,,,
ranzigheid ,,noun,,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon,,,
reukloosheid ,,noun,reukeloosheid ,Odor quality/ Abstract ,No smell,Brouwer Lexicon; WNT,"Eigenschap van het niet hebben, resp. afgeven van een geur","Sommige reukstoffen hechten … zoo hardnekkig aan glas, dat men vaak uren lang wachten moet tot volkomen reukloosheid, Hermanides, Standaardgeuren 29 [1909].; De voordeelen van het electrische licht zijn: … de gemakkelijke aanbrenging; … de geringe warmte-ontwikkeling; … de reukeloosheid, enz.,  Spoorwegtechn. 3, 3 [1937].",
vaats,,adjective,vaatsch,Odor quality/ Abstract ,,WNT,"(In N.-Nederl. veroud.) (Eig.: van dranken — wijn, bier — die in onvoldoende gereinigde vaten worden bewaard) Naar het vat smakend of ruikend; een fustsmaak hebbend. ","Het vaats en duf Bier, bekoomt dien kwaaden smaak en reuk van stinkende en vervuilde vaten,   Handw. 16, 55 [1799].; Dat bier is vatig of vatsch,   schuerm. [1865-1870].",
veeg,,adjective,,Odor quality/ Abstract ,,WNT,"in literaire taal en thans ongewoon; oorspr. blijkbaar: behoorende tot een stervende - behoorende tot een doode. 1. In het bijz.: wat den smaak of reuk van een doode heeft; reeuwsch. 2. In een algemeener toepassing ook: ”smetsch, walgelijk van reuk of smaak” (corn.-vervl.).","1. Reeuwsch, Veeg, répandant une odeur … qui annonce la mort prochaine, Aant. v. gezelle [± 1880]. 2.  'Ne veigen reuk, Corn.-vervl. [1903].; 't Rook daar zoo veig, dat ek er van mij' zelven zou gegaan zijn, Corn.vervl. [1903].",
verdossemd,,adjective,,Odor quality/ Abstract ,,WNT,"1.  Van de of een atmosfeer: muf, benepen, benauwd.","De muffe lucht en de verdossemdheid was omtrent geheel opgedroogd en de reuk van schimmel en wakte bijna geheel vergaan,   stijn streuvels, Vlaschaard 112 [1907].; Er heerscht een muffige geur van vochtige eerde en verdossemdheid en van schimmel,   stijn streuvels, Landsche Woning 44 [1913].; 't Is hier verdossend in die kamer!   Verz. gezelle [Kortrijk, voor 1899]. 't Scheen haar dat de zomer nu voorbij was en die laffe zoelte een laatste verdossemde zucht voor 't komen van de korte dagen en de koude,   stijn streuvels, Lentelev. 271 [1899].; « Dat is stomperachtig (= Verdossemd) weere vandage: 't stinkt als je buiten gaat. » Geh. Harlebeke.",
aciditeit ,,noun,,Odor quality/ aroma ,Malodorous,Brouwer Lexicon,,,
bitter ,,adjective,,Odor quality/ aroma ,Malodorous,Brouwer Lexicon,,,
bitterachtig ,,adjective,,Odor quality/ aroma ,Malodorous,Brouwer Lexicon,,,
bitterheid ,,noun,,Odor quality/ aroma ,Malodorous,Brouwer Lexicon,,,
bitterig ,,adjective,,Odor quality/ aroma ,Malodorous,Brouwer Lexicon,,,
fleeuws,,adjective,fleeuwsch; fleew; flauw,Odor quality/ aroma ,,WNT, flauw van reuk of smaak ,,
galsterig,,adjective,,Odor quality/ aroma ,,WNT,"Van vette zelfstandigheden, als gerookt vleesch of spek, boter, smeer, olie enz. Sterk van smaak, ransig.","veneens het thans verouderde bnw. gaalsch, onaangenaam van smaak (”den gaelschen geur der sappen”, de decker 1, 119 [1666]) ",
honingzoet ,,adjective,,Odor quality/ aroma ,Fragrant,Brouwer Lexicon,,,
inbitter ,,adjective,,Odor quality/ aroma ,Malodorous,Brouwer Lexicon,,,
inzoet ,,adjective,,Odor quality/ aroma ,Fragrant,Brouwer Lexicon,,,
mierzoet ,,adjective,,Odor quality/ aroma ,Fragrant,Brouwer Lexicon,,,
overzoet ,,adjective,,Odor quality/ aroma ,Fragrant,Brouwer Lexicon,,,
rins,,adjective,,Odor quality/ aroma ,,WNT,zuur,"”Eene ligte rinsheid, die niets onaangenaams heeft, een meer dan gewoon liefelijke geur onderscheiden de … wijnen van den Rijn”, Ned. Handelsmag. 1324 b [1843])",
zoet ,,adjective,,Odor quality/ aroma ,Fragrant,Brouwer Lexicon,,,
zoetgeurig ,,adjective,soetgeurig,Odor quality/ aroma ,Fragrant,Brouwer Lexicon,,,
zoetig ,,adjective,,Odor quality/ aroma ,Fragrant,Brouwer Lexicon,,,
zoetreukig ,,adjective,Soetreukig ,Odor quality/ aroma ,Fragrant,Brouwer Lexicon,,,
zout,,adjective,,Odor quality/ aroma ,,,,,
zurig,,adjective,,Odor quality/ aroma ,,,,,
zurigheid ,,noun,,Odor quality/ aroma ,Malodorous,Brouwer Lexicon,,,
zuur,,adjective,"""..""",Odor quality/ aroma ,,WNT,,"bij welke het zweet, boven dezen Zuuren reuk, zodanig een bijtende lijmerigheid had; 't Fabriek, — de gore, hooge holten, die ze wel eens even door 'n kierende deur had ingekeken, terwijl 'n zure stank, door 'n bitteren roet-walm heen, haar in de keel sloeg,   schart.-ant., Sprotje 1, 13 [1905].",
zuurachtig,,adjective,,Odor quality/ aroma ,,"Bijdragen tot het leenstelsel der koorts, 1789",,dit zweet heeft een bijzonderen zuurachtigen reuk,
zuurheid ,,noun,,Odor quality/ aroma ,Malodorous,Brouwer Lexicon,,,
bedwelmend,,adjective,,Odor quality/ Characteristics ,,WNT,,"Je ziet alleen de bloemen, het rood, het wit, het gekriel van de kelken, der bengelende kelken, die den reuk, den priklenden, zoeten bedwelmenden, door de kamer wapperen,   falkland 1, 85 [1896].",
benauwd,,adjective,,Odor quality/ Characteristics ,,WNT,,"Behalve dat de pis … (bij de veepest) brandig is, zoo geeft ze een benaauwden reuk van zich,  berkhey, N.H. 8, 337 [1810].; De Rogh … is niet aangenaam van smaak, en ook niet heel gezond, versch gegeeten; daarenboven ruikt hy wat benaauwt, maar gedroogt, is hy redelijk goed,   egede, Groenl. 91 [1746].",
branderig ,,adjective,"brandig, brandêrg, brannerig, brannerg, branig",Odor quality/ Characteristics ,Malodorous,Brouwer Lexicon; WNT; Friesch WDB,Naar rook smakende of riekende;,"Wat is hier eene branderige lucht; er is zeker papier in de kachel gegooid   [1896].; Gewoonlijk bevat het … (door distillatie van het hout gewonnen zuur) nog brandige olie, die aan hetzelve een' onaangenamen reuk en zeer bederfwerende eigenschappen geeft; Een brandige reuk …, het welk een kenteeken is, dat er iets inwendig smeult en het hooi broeit,   berkhey, N.H. 9, 237 [1811].; Wanneer men gezegde brandige reuk bespeurt, let men op, of dezelve binnen twee of drie dagen verdwijnt, en geschiedt dit, dan is men genoegzaam zeker, dat het hooi uitgebroeid heeft en het gevaar voorbij is,   berkhey, N.H. 9, 238 [1811].; Friesch WDB: Brânige loft, door branderige reuk bezwangerde lucht.",
doordringend,,adjective,,Odor quality/ Characteristics ,,Linaeus,,,
flauw,,adjective,fleeuwsch; fleew;,Odor quality/ Characteristics ,,WNT,Weinig doordringend; Gewestelijk van water dat stinkt (boekenoogen). ,,
fris,,adjective,,Odor quality/ Characteristics ,,WNT,Van zaken die verkwikkend op reuk of smaak werken. ,"De wind die droomt aldoor 't geboomte brengt frissche wilde geuren meê,   rodenbach 79.",
fruitig,,adjective,,Odor quality/ Characteristics ,Fragrant,,,,
geurloos ,,adjective,,Odor quality/ Characteristics ,No smell,Brouwer Lexicon,,,
gezond,,adjective,,Odor quality/ Characteristics ,,WNT,,"Zoo sprak vrou Ericine, en blies / Uit haer' koraelen mont/ Een' nektardau, gezont / Van reuk. / poot 1, 151 [c. 1715].",
gorig,,adjective,,Odor quality/ Characteristics ,,WNT,"zurig, zuurachtig","De reuk en de smaak van dit maagsap is … dezelfde (als die van de pap en het sap van gekookte spinazie): eene meerdere goorigheid even wel doet opmerken, dat het plantzuur … hier van veel uitwerking is,   berkhey, N.H. 6, 250 [1807].",
hinkenden,,adjective,v,Odor quality/ Characteristics ,,,,"dat het vogt een hinkenden reuk had,V erloskundige waarneemingen en aanmerkingen, Enden, Cornelis, van den ",
jammerlijk,,adjective,eëmelik,Odor quality/ Characteristics ,,"Tonnaer, M. en Har Sniekers (eindred.), (2012), Thoears Woeardebook","indringende, soms misselijk makende geur",Kestaanjelebluuj kan ieëmelik ruke,
jeukend,,adjective,,Odor quality/ Characteristics ,,WNT,aangenaam geprikkel der smaak en reukzenuwen.,"Wat kittlend gejeuk / Veur smaak en veur reuk!/ Komt, vrienden, te gaar,/ De koffi is klaar!Dautzenberg, Verspr. en Nag. Ged. 303. ",
laf,,adjective,,Odor quality/ Characteristics ,,WNT,flauw ten opzichte van den reuk. ,"Deeze (bundel van blaaden), uit zich zelve te laf van lucht, doch riekende naar 't lof der Nassauwsche Lauweren, en doorstooft met geur van Oranje bloemen,   hooft, N.H., Opdr. iii [1642].",
liefdegeur,,noun,,Odor quality/ Characteristics ,,WNT,,"liefdegeur (”(De broederliefde) is als de zalf op 's Hoogepriesters hoofd …, Die door haar' reuk het hart verblijdt. Die liefdegeur moet elk tot liefde noopen”, Psalmber. 133, 2)",
lijs,,adjective,,Odor quality/ Characteristics ,,WNT,"zacht, licht","Lijze reuk, lichte en fijne reuk,   de bo [1873].",
luchtig,,adjective,,Odor quality/ Characteristics ,,WNT,"zoo ijl, nietig en licht als de lucht","Dat 'er zig, toen ik deeze geconcentreerde Dauwstof brandde, uit haaren rook een lugtige reuk, byna als die van Petroly, Steen- of Aard-oly … verspreidde,   berkhey, N.H. 1, 313 [1769].",
mefitisch ,,adjective,,Odor quality/ Characteristics ,Malodorous,Brouwer Lexicon; etymologiebank.nl,"Stinkend, verstikkend",,
misselijkmakend ,,adjective,Nauseasos - ,Odor quality/ Characteristics ,,Linaeus,,,
nat,,adjective,,Odor quality/ Characteristics ,,WNT,,"Een natte reuk van regen stoomde uit haar bemodderde rok,   couperus, Kl. Z. 1, 86 [1901].",
ouwelijk,,adjective,,Odor quality/ Characteristics ,,WNT,,"De tabak … heeft … wel eens een ouwelijke lucht, een kelderlucht of ruikt soms wel onfrisch of duf, Bertram, Tabak 74 [1896].",
penetrant,,adjective,,Odor quality/ Characteristics ,,WNT,,"De eigenschap bezittende van door te dringen, het gevoel of andere zintuigen sterk aan te doen; doordringend.",
pestbaar,,adjective,verpestend,Odor quality/ Characteristics ,Malodorous,WNT,"bij hooft als vertaling van lat. pestifer, pestaanbrengend, verpestend ","(”De meer (t.w. de Doode Zee) van ongemeeten omgank, in schyn van een' zee, arger van smaak, pestbaar voor d'aanwoonders met haaren zwaaren reuk, wordt van geen' winden bewoogen”, hooft, Tac. 476 [c. 1635])",
pestifer,,adjective,,Odor quality/ Characteristics ,,WNT,,"Een pestifere stanck was in dit bos, d'welck wij vermoeden eenige on begraven dooden te weesen,   in Bijdr. Hist. Gen. 21, 230 [1598].; ”Een bewaringhe tegen een besmette ende Pestachtige lucht”, Wond. Schatboeck d. Hist. (ed. 1608) 1, 14 v°;",
priksleden,,adjective,,Odor quality/ Characteristics ,,WNT,"kaasachtig en gestremd, gevende een zuuren sterke priksleden reuk ",Antwoord over de vraag […] over den spasmus cynicus of de beklemming van de onderkaak in eerstgeboren kinderen,
reukeloos ,,adjective,,Odor quality/ Characteristics ,No smell,Brouwer Lexicon; WNT,,"Reukelooze, min (gele vaseline) of meer (witte vaseline) ontkleurde, half-doorschijnende, zalfachtige massa, verkregen uit de distillatierest van sommige petroleumsoorten. ; Vaseline, … ook ozokerine of kosmoline, bij de distillatie van petroleum, alsmede uit paraffine-olie en ozokeriet verkregen product, dat als volkomen reukelooze en vetvrije, aan ranzigworden niet onderhevige zalf in de pharmacic en de industrie in den laatsten tijd veel gebruikt wordt,   kramers, Kunstwdt. [1886].",
reukloos ,,adjective,"Reuckeloos, inodorus, rookleas",Odor quality/ Characteristics ,No smell,Brouwer Lexicon; WNT; Friesch WDB,"1) Geen (eigen) geur hebbend, resp. afgevend, niet-geurend. ","Lavenders droef-blaaw bloem, d'eel loof-smal Rosmarein, Ruekzwaar Bazilikom … Door ruek-loos onkruyd, hier niet waren wegh geschoven, Spieghel 68 [c. 1610].; J. bevondt het (t.w. Psychotria) een Heester, byna regtopstaande, Takkig, eens Mans langte hoog, met Trosjes aan de enden der Takken, bestaande uit Reukelooze witte Bloemen, byna als die der Syringen of Jasmyn, Houttuyn, Nat. Hist. II, 4, 204 [1775].; Gemeen water, 't welke … van allen Reuk ontbloot of Reukloos is, Buys, Wdb. v. K. en W. 8, 56 [1777].; Op zich zelv' zijn de harsen reukeloos, maar in vele gevallen nemen zij eenen reuk aan, en wel eenen zeer sterken, door bijmenging van etherische oliën,  Boek d. Uitv. 6, 151 [1869].; Bekend is is het, dat sommige lichamen riekend, reukgevend, andere daarentegen reukeloos zijn, Lubach, Natuurk. Mensch 208 [1882].; Men (is) de zuivere oleomargarine gaan vermengen met verschillende andere vetten als neutral lard (reukeloos en smakeloos gemaakt varkensnierenvet), geraffineerde cocosolie enz., Everwijn, Handel en Nijverh. 489 [1912].; Friesch WDB: Sims wier it, eft alles … him frij briek en yn strieljende pracht iepenbloeide yn de moarn, wyt-rookleas sims. d. kalma, moarn, 3, [1922].; Foarst de Rookleaze kamelle. h. heidinga, boereblom, 35, [1975].",
reukloosmaken,,verb,,Odor quality/ Characteristics ,no smell,WNT,,"Het gebruik van den chloorkalk als middel ter reukloosmaking van den secreetmest, Ts. Nijverh. 1861, 306.",
reukzwaar,,adjective,,Odor quality/ Characteristics ,,WNT,,"Lavenders droef-blaaw bloem, d'eel loof-smal Rosmarein, Ruekzwaar Bazilikom … Door ruek-loos onkruyd, hier niet waren wegh geschoven,   spieghel 68 [c. 1610].",
rookrijk,,adjective,,Odor quality/ Characteristics ,,WNT,rijk aan geur,"”D'inlandse rook-rijk bloem en kruid”, spieghel 64",
Rot,,adjective,rottend,Odor quality/ Characteristics ,malodorous,WNT,,"Toen ik ze (de kuip) wederom beschouwde, vond ik, … dat ze in dien korten tijd was omgeslagen; zij gaf reeds een' zeer rottenden reuk,   1, 92.",
ruikbaar ,,adjective,,Odor quality/ Characteristics ,,Brouwer Lexicon,,,
ruikend ,,adjective,,Odor quality/ Characteristics ,,Brouwer Lexicon,,,
scherp,,adjective,scherp ruiken ,Odor quality/ Characteristics ,,"Brouwer Lexicon; WNT; Theodor Gerhard Timmerman, Oudheid- en geneeskundige verhandeling over de demonische menschen waarvan in de geschiedverhaalen door euangelisten wordt gewaagd","Van stoffen of zaken met betrekking tot hun werking op reuk of smaak of tot een scheikundige werking, of van de geur of smaak van een zaak. Bijtend, prikkelend, doordringend. ","dat de honden, omdat zij door hunnen scherpen reuk de dingen gemaklyk kunnen onderscheiden de zielen der vroomen; Mason County … rookt zeer scherp en is heet in de keel,   bertram, Sigaren-Fabr. 90.; Sien, die in de plooien van 'r kleeren altijd de scherp goor-zure lucht meebracht van 'r azijn-makerij,   schart.-ant., Sprotje 1, 29 [1905].",
stankloos ,,adjective,,Odor quality/ Characteristics ,No smell,Brouwer Lexicon,,,
stekend,,adjective,,Odor quality/ Characteristics ,,WNT,,"Formaldehyde is een gas met stekende reuk dat desinfecterend werkt,   v. dale [1976].",
sterk ,,adjective,,Odor quality/ Characteristics ,,WNT,Van of met betrekking tot smaak of reuk: krachtig; prikkelend; scherp; krachtig of scherp smakend of riekend,"Sy hebben stercken reuck, seer crachtich nae de Olie de Palma, daer sy haer gestadich mede smeeren,  O.-I. e. W.-I. Voyag. 5, 12 d [1602].; Boomen, van de welcke de basten alsoo sterck waren als Peper, Begin e. Voortg. 18, 21 b [ed. 1646].; Appelen …, die soo sterck van reuck syn, dat de reuck twee à drie uyren aen de handen blyft,  V.d. Goes, Briefw. 2, 161 [1670].; Ook hebben zy (zekere vruchten) een groote korl …, zynde ook onaangenaam en zeer sterk van reuk,  Valentijn, O.-I. III, 1, 157 a [1726].; Ik heb denzelfden dauw nogh eenige reizen overgehaald, zyne reuk is telkens fyner en sterker geworden, V. Musschenbroek, Natuurk. 780.; Dan heeft dit (t.w. het overgieten met kokend water) de te sterke tabak tot haar voordeel minder sterk gemaakt,  Bertram, Tabak 50 [1896].; Deze vischsoorten, bestaande uit groote schelvisch en kleine kabeljauw, zwart van kleur en sterk van lucht,  N. Rott. Cour. v. 2 Jan. 1926, Avondbl. C.; Het eerste trekzel (van een bepaald soort thee) was bruin-rood van koleur, niet zo sterk van reuk als de groene The …, maar zeer volmondig van smaak, hoewel niet zo zamentrekkende, als het aldersterkste trekzel van de groene The, maar in bitterheid tusschen de groene The en het aldersterkste trekzel van de Keizers-The,   v. ranouw, Kab. 5, 514 [1721].; Nux juglans … In 't Nederduitsch Noteboom, Okkernoteboom, Walnoteboom. Is een groote en schoone boom, die zeer takryk is, en zyne takken zeer wyd uitspreid, makende eene groote schaduw; zyne bladers zyn groot, breed, zenuwachtig, groen, sterk van reuk, t'zamentrekkende van smaek,   lemery-v. putten, Wdb. d. Droog. 495 b [1743].",
sterkruikend ,,adjective,sterriekend,Odor quality/ Characteristics ,,Brouwer Lexicon; WNT,,"Dat onze denkbeelden zeer veel volatil zout in zig hadden, en dat daarom alle de zogenaamde sterkriekende Drogeryen bekwaam waren, om ons geestig te maaken,  Denker 2, 358 [1765].; Onze inlandsche Tabak (heeft) nodig, van zijne sterke reuk en smaak, door kunstmiddelen, beroofd en meer zacht gemaakt te worden. Dit geschiedt door uitloogen, uitbroeijen en sausen,   uilkens, TechnoL. 2, 225 [1813].",
strang,,adjective,,Odor quality/ Characteristics ,,WNT,"bnw. Mnl. stranc, os. strang; oudeng. strang, strong, eng. strong; on. strangr, nieuwn. strang (scherp van smaak of reuk; zie falk-torp op Streng, bnw.). In principe van denzelfden stam als streng (III), daar beide vormen te verklaren zijn uit ogerm. *strangu-. Zie kluge, Nom. Stammb.³ § 179 vlg., inzonderheid § 181. [v. l.] Thans alleen gewestelijk",,
verdoofd,,adjective,,Odor quality/ Characteristics ,,WNT,"T.a.v. geur en reuk: slecht ruikend. Vgl. dof, duf, en zie de etvm. wdb. voor de relatie tusschen doof, dof en duf. Alleen aangetr. in de 16de- en 17de-eeuwsche wdb.","Verdooft oft ver-doft riecken, Spirare surdum odorem,   kil. [1588].; Ver-doofde oft ver-dofte specerije. Aromata surda, exsurdata, situm redolentia,   Ald kil. (ed. de potter) [1642].",
